order,section,title,include
1,1,Objective,y
2,1.1,Background,y
3,1.2,Goals,y
4,1.3,Data,y
5,2,Labels,y
6,2.1,Clear labels,y
7,2.2,Adding labels,y
8,2.3,Collect labels,y
9,2.4,Removing labels,y
10,2.5,Adding labels back,y
11,2.6,Clearing empty columns,y
12,3,Factors,y
13,3.1,label_factor,y
14,3.2,recode_factor,y
15,3.3,j.trib,y
16,4,Tables,y
17,4.1,jgt,y
18,4.2,jgtt,y
19,4.3,j.reactable,y
20,5,Dates,n
21,5.1,date_dists,n
22,5.1.1,Figure,n
23,5.1.2,Table,n
24,6,Analysis,n
25,6.1,rms.trib,n
26,6.2,rms.sum.table3,n
27,6.2.1,Output,n
28,6.2.2,Raw output,n
29,6.2.3,With interaction,n
30,6.2.4,Adjustments via rms.summary(),n
31,6.3,rms.forest.plot,n
32,6.3.1,Forest plot,n
33,6.3.2,With interaction,n
34,6.3.3,Possible extensions,n
35,6.4,Interaction contrasts,n
36,6.4.1,expand.int,n
37,6.4.2,int.react,n
38,6.4.3,int.tile.plot,n
39,7,Appendix,y
40,7.1,archive and changelog,n
41,7.1.1,Example usage,n
42,7.1.2,Archive summary,n
43,7.1.3,Changelog output,n
44,7.1.3.1,Summary comparison,n
45,7.1.3.2,Differences by ID,n
46,7.1.3.3,Variables not shared,n
47,7.1.3.4,Differences by variable,n
48,7.2,get_toc,y
49,7.2.1,Abbreviated report,n
50,7.3,session_info,y